iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
1,0,1,-0.063,44,31,44.000,35.500,0.000,-4.500,1.000,0.800,1.0000,
1,0,2,-0.041,47,36,44.000,35.500,3.000,0.500,1.000,0.600,1.0000,
1,0,3,-0.087,51,35,44.000,35.500,7.000,-0.500,0.800,0.600,1.0000,
1,0,4,-0.064,49,36,44.000,35.500,5.000,0.500,0.600,0.600,1.0000,
1,1,1,-0.450,52,61,44.000,35.500,8.000,25.500,1.000,1.200,1.0000,
1,1,2,-0.645,63,66,44.000,35.500,19.000,30.500,1.000,1.200,1.0000,
1,1,3,-0.588,53,70,44.000,35.500,9.000,34.500,1.200,1.000,1.0000,
1,1,4,-0.660,63,67,44.000,35.500,19.000,31.500,1.200,0.800,1.0000,
2,0,1,-0.063,44,31,44.000,35.500,0.000,-4.500,0.800,1.000,0.7000,
2,0,2,-0.041,47,36,44.000,35.500,3.000,0.500,0.800,1.200,0.7000,
2,0,3,-0.087,51,35,44.000,35.500,7.000,-0.500,0.800,1.000,0.7000,
2,0,4,-0.064,49,36,44.000,35.500,5.000,0.500,0.800,1.000,0.7000,
2,1,1,-0.450,52,61,44.000,35.500,8.000,25.500,0.800,1.000,0.7000,
2,1,2,-0.645,63,66,44.000,35.500,19.000,30.500,0.600,1.200,0.7000,
2,1,3,-0.588,53,70,44.000,35.500,9.000,34.500,0.600,1.400,0.7000,
2,1,4,-0.637,61,67,44.000,35.500,17.000,31.500,0.600,1.600,0.7000,
3,0,1,-0.063,44,31,44.000,35.500,0.000,-4.500,1.000,1.200,0.4900,
3,0,2,-0.041,47,36,44.000,35.500,3.000,0.500,1.000,1.400,0.4900,
3,0,3,-0.087,51,35,44.000,35.500,7.000,-0.500,1.000,1.600,0.4900,
3,0,4,-0.064,49,36,44.000,35.500,5.000,0.500,1.000,1.800,0.4900,
3,1,1,-0.450,52,61,44.000,35.500,8.000,25.500,1.000,1.200,0.4900,
3,1,2,-0.645,63,66,44.000,35.500,19.000,30.500,1.000,1.400,0.4900,
3,1,3,-0.588,53,70,44.000,35.500,9.000,34.500,1.000,1.600,0.4900,
3,1,4,-0.637,61,67,44.000,35.500,17.000,31.500,1.000,1.800,0.4900,
4,0,1,-0.063,44,31,44.000,35.500,0.000,-4.500,1.000,1.200,0.3430,
4,0,2,-0.041,47,36,44.000,35.500,3.000,0.500,1.000,1.200,0.3430,
4,0,3,-0.087,51,35,44.000,35.500,7.000,-0.500,1.000,1.000,0.3430,
4,0,4,-0.064,49,36,44.000,35.500,5.000,0.500,1.000,1.200,0.3430,
4,1,1,-0.450,52,61,44.000,35.500,8.000,25.500,1.000,1.200,0.3430,
4,1,2,-0.645,63,66,44.000,35.500,19.000,30.500,1.000,1.400,0.3430,
4,1,3,-0.588,53,70,44.000,35.500,9.000,34.500,1.000,1.600,0.3430,
4,1,4,-0.637,61,67,44.000,35.500,17.000,31.500,1.000,1.800,0.3430,3241.910400
5,0,1,-0.063,44,31,44.000,35.500,0.000,-4.500,1.000,1.200,0.2401,3784.771729
5,0,2,-0.041,47,36,44.000,35.500,3.000,0.500,0.800,1.400,0.2401,1339.627686
5,0,3,-0.087,51,35,44.000,35.500,7.000,-0.500,1.000,1.400,0.2401,908.412720
5,0,4,-0.064,49,36,44.000,35.500,5.000,0.500,0.800,1.600,0.2401,643.032776
5,1,1,-0.450,52,61,44.000,35.500,8.000,25.500,1.200,1.200,0.2401,337.105682
5,1,2,-0.645,63,66,44.000,35.500,19.000,30.500,1.400,1.000,0.2401,256.851257
5,1,3,-0.588,53,70,44.000,35.500,9.000,34.500,1.600,0.800,0.2401,159.026184
5,1,4,-0.637,61,67,44.000,35.500,17.000,31.500,1.800,0.600,0.2401,426.593597
