iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
1,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,0.800,0.800,1.0000,
1,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.000,1.000,1.0000,
1,0,3,-8.976,511,296,44.000,35.500,467.000,260.500,0.800,1.200,1.0000,
1,0,4,-8.744,477,307,44.000,35.500,433.000,271.500,1.000,1.400,1.0000,
1,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,0.800,1.000,1.0000,
1,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.000,1.200,1.0000,
1,1,3,-13.580,553,589,44.000,35.500,509.000,553.500,1.200,1.400,1.0000,
1,1,4,-13.877,594,577,44.000,35.500,550.000,541.500,1.400,1.400,1.0000,
2,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,1.200,0.7000,
2,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.000,1.000,0.7000,
2,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,1.200,0.800,0.7000,
2,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,1.400,0.800,0.7000,
2,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,1.200,1.000,0.7000,
2,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.400,1.200,0.7000,
2,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,1.600,1.000,0.7000,
2,1,4,-13.862,589,580,44.000,35.500,545.000,544.500,1.800,0.800,0.7000,
3,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,1.000,0.4900,
3,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.200,0.800,0.4900,
3,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,1.200,0.800,0.4900,
3,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,1.400,0.800,0.4900,
3,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,1.200,0.800,0.4900,
3,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.400,0.600,0.4900,
3,1,3,-13.538,553,586,44.000,35.500,509.000,550.500,1.600,0.400,0.4900,
3,1,4,-13.820,589,577,44.000,35.500,545.000,541.500,1.800,0.600,0.4900,
4,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.200,0.800,0.3430,
4,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.200,1.000,0.3430,
4,0,3,-8.976,511,296,44.000,35.500,467.000,260.500,1.000,1.200,0.3430,
4,0,4,-8.744,477,307,44.000,35.500,433.000,271.500,1.200,1.400,0.3430,
4,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,1.200,0.800,0.3430,
4,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.000,1.000,0.3430,
4,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,1.200,0.800,0.3430,
4,1,4,-13.806,589,576,44.000,35.500,545.000,540.500,1.400,0.600,0.3430,307.562347
5,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,1.000,0.2401,165.297180
